State,cbsasub,areaname,median2017,lim50_17p1,lim50_17p2,lim50_17p3,lim50_17p4,lim50_17p5,lim50_17p6,lim50_17p7,lim50_17p8,Lim60_17p1,Lim60_17p2,Lim60_17p3,Lim60_17p4,Lim60_17p5,Lim60_17p6,Lim60_17p7,Lim60_17p8,HERA_Lim_type17,Lim50_HERA_17p1,Lim50_HERA_17p2,Lim50_HERA_17p3,Lim50_HERA_17p4,Lim50_HERA_17p5,Lim50_HERA_17p6,Lim50_HERA_17p7,Lim50_HERA_17p8,Lim60_HERA_17p1,Lim60_HERA_17p2,Lim60_HERA_17p3,Lim60_HERA_17p4,Lim60_HERA_17p5,Lim60_HERA_17p6,Lim60_HERA_17p7,Lim60_HERA_17p8,fips2010,statename,metro,county_town_name,stusps,county,county_name
6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",83300,35100,40100,45100,50100,54150,58150,62150,66150,42120,48120,54120,60120,64980,69780,74580,79380,Regular,,,,,,,,,,,,,,,,,0608799999,CALIFORNIA,1,Santa Cruz County,CA,87,Santa Cruz County
6,METRO39820M39820,"Redding, CA MSA",61800,21650,24750,27850,30900,33400,35850,38350,40800,25980,29700,33420,37080,40080,43020,46020,48960,Regular,,,,,,,,,,,,,,,,,0608999999,CALIFORNIA,1,Shasta County,CA,89,Shasta County
6,NCNTY06091N06091,"Sierra County, CA",59500,23500,26850,30200,33550,36250,38950,41650,44300,28200,32220,36240,40260,43500,46740,49980,53160,Regular,,,,,,,,,,,,,,,,,0609199999,CALIFORNIA,0,Sierra County,CA,91,Sierra County
6,NCNTY06093N06093,"Siskiyou County, CA",47500,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0609399999,CALIFORNIA,0,Siskiyou County,CA,93,Siskiyou County
6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",80400,28150,32200,36200,40200,43450,46650,49850,53100,33780,38640,43440,48240,52140,55980,59820,63720,Special,29350,33550,37750,41900,45300,48650,52000,55350,35220,40260,45300,50280,54360,58380,62400,66420,0609599999,CALIFORNIA,1,Solano County,CA,95,Solano County
6,METRO42220M42220,"Santa Rosa, CA MSA",83900,30850,35250,39650,44050,47600,51100,54650,58150,37020,42300,47580,52860,57120,61320,65580,69780,Regular,,,,,,,,,,,,,,,,,0609799999,CALIFORNIA,1,Sonoma County,CA,97,Sonoma County
6,METRO33700M33700,"Modesto, CA MSA",57500,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0609999999,CALIFORNIA,1,Stanislaus County,CA,99,Stanislaus County
6,METRO49700M49700,"Yuba City, CA MSA",55500,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0610199999,CALIFORNIA,1,Sutter County,CA,101,Sutter County
6,NCNTY06103N06103,"Tehama County, CA",51300,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0610399999,CALIFORNIA,0,Tehama County,CA,103,Tehama County
6,NCNTY06105N06105,"Trinity County, CA",50800,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0610599999,CALIFORNIA,0,Trinity County,CA,105,Trinity County
6,METRO47300M47300,"Visalia-Porterville, CA MSA",47300,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0610799999,CALIFORNIA,1,Tulare County,CA,107,Tulare County
6,NCNTY06109N06109,"Tuolumne County, CA",60200,21100,24100,27100,30100,32550,34950,37350,39750,25320,28920,32520,36120,39060,41940,44820,47700,Regular,,,,,,,,,,,,,,,,,0610999999,CALIFORNIA,0,Tuolumne County,CA,109,Tuolumne County
6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",85600,35000,40000,45000,49950,53950,57950,61950,65950,42000,48000,54000,59940,64740,69540,74340,79140,Regular,,,,,,,,,,,,,,,,,0611199999,CALIFORNIA,1,Ventura County,CA,111,Ventura County
6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",74700,26150,29900,33650,37350,40350,43350,46350,49350,31380,35880,40380,44820,48420,52020,55620,59220,Regular,,,,,,,,,,,,,,,,,0611399999,CALIFORNIA,1,Yolo County,CA,113,Yolo County
6,METRO49700M49700,"Yuba City, CA MSA",55500,21000,24000,27000,29950,32350,34750,37150,39550,25200,28800,32400,35940,38820,41700,44580,47460,Regular,,,,,,,,,,,,,,,,,0611599999,CALIFORNIA,1,Yuba County,CA,115,Yuba County
